lat,lon,temp_c,wind_ms,solar_wm2,precip_mm,water_dist_m,road_dist_m,building_dist_m,s_temperature,s_wind,s_solar,s_precipitation,s_water,s_road,s_land_cover,s_building,suitability,ml_suitability
-4.5200,35.2600,,,,,254282.8494,275445.3571,272710.3600,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,35.3600,,,,,250797.2772,268843.2262,267234.0628,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4254
-4.5200,35.4600,,,,,247763.6176,262547.8711,261754.0790,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4254
-4.5200,35.5600,,,,,245198.4690,253512.2219,254171.8891,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,35.6600,,,,,243116.4908,243728.9983,244367.5944,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,35.7600,,,,,241530.0125,234066.2316,234681.6822,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4254
-4.5200,35.8600,,,,,232571.8051,224539.2761,225129.2360,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4255
-4.5200,35.9600,,,,,222898.9974,215165.9740,215727.7876,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4259
-4.5200,36.0600,,,,,213367.8304,205967.1036,206497.7622,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.5200,36.1600,,,,,203997.9617,196966.9042,197462.9983,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4264
-4.5200,36.2600,,,,,194812.4679,188193.6784,188651.3493,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.5200,36.3600,,,,,185761.7262,179680.4725,180095.3636,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.5200,36.4600,,,,,176561.1398,171465.8152,171833.0308,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,36.5600,,,,,167592.9939,163020.6285,163908.5589,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,36.6600,,,,,158896.4438,153820.2720,156373.1153,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,36.7600,,,,,150518.3648,144888.3128,149184.0908,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,36.8600,,,,,142514.7253,136277.3157,140490.9098,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,36.9600,,,,,134951.9530,128051.8257,132000.7133,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4261
-4.5200,37.0600,,,,,127908.0633,120290.7280,123925.4312,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4260
-4.5200,37.1600,,,,,121473.1471,113089.4496,116337.7442,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4260
-4.5200,37.2600,,,,,115748.6093,106561.3220,109316.8409,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4260
-4.5200,37.3600,,,,,110634.3027,100836.9463,102991.0653,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4260
-4.5200,37.4600,,,,,106025.9993,95538.4584,97508.9191,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,37.5600,,,,,101629.0513,86746.9628,91221.7389,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.5200,37.6600,,,,,97982.9279,78542.8483,84957.2969,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.5200,37.7600,,,,,93955.0085,71129.4030,77860.2747,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4265
-4.5200,37.8600,,,,,89736.1624,64778.4068,71636.5272,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4264
-4.5200,37.9600,,,,,86741.6160,59828.9196,65134.1456,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4264
-4.5200,38.0600,,,,,85100.5568,56649.2582,59798.6044,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.5200,38.1600,,,,,74566.5938,55543.9920,56175.1946,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4264
-4.5200,38.2600,,,,,63475.5358,54378.2536,48868.8966,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4270
