lat,lon,temp_c,wind_ms,solar_wm2,precip_mm,elevation_m,water_dist_m,road_dist_m,building_dist_m,s_temperature,s_wind,s_solar,s_precipitation,s_water,s_road,s_land_cover,s_building,s_elevation,suitability,ml_suitability
-2.1200,37.9600,23.6058,2.3756,9.0842,136.9154,768.0000,360.3606,274.9348,646.5676,1.0000,1.0000,0.4513,0.0000,1.0000,1.0000,0.3000,0.7443,1.0000,0.4839,0.4717
-2.1200,38.0600,23.9930,2.4331,8.9199,134.6662,912.0000,2655.6000,287.5254,2034.5467,1.0000,1.0000,0.4252,0.0000,0.1378,1.0000,0.9000,1.0000,1.0000,0.6526,0.6501
-2.1200,38.1600,24.4040,2.4882,8.7276,130.6295,692.0000,1846.5781,1086.0889,5101.9345,1.0000,1.0000,0.3947,0.0000,0.4614,0.9904,0.9000,1.0000,1.0000,0.6886,0.6856
-2.1200,38.2600,24.8181,2.5450,8.5410,127.2156,696.0000,5750.5066,21.4675,9096.5684,1.0000,1.0000,0.3651,0.0000,0.0000,1.0000,0.3000,1.0000,1.0000,0.5232,0.5229
-2.1200,38.3600,25.2604,2.6178,8.4064,129.4063,808.0000,941.0989,1333.7434,8728.4538,1.0000,1.0000,0.3437,0.0000,0.8236,0.9629,0.4000,1.0000,1.0000,0.6368,0.6339
-2.1200,38.4600,25.7027,2.6906,8.2718,131.5970,507.0000,2790.1389,1008.2861,9914.7406,1.0000,1.0000,0.3224,0.0000,0.0839,0.9991,0.4000,1.0000,1.0000,0.5478,0.5447
-2.1200,38.5600,26.1007,2.7780,8.1582,128.2257,474.0000,5081.2264,5728.9552,13660.2250,1.0000,1.0000,0.3044,0.0000,0.0000,0.4746,0.4000,1.0000,0.9480,0.5101,0.5113
-2.1200,38.6600,26.4691,2.8753,8.0585,121.1465,421.0000,8025.5399,4982.8169,19212.0639,1.0000,1.0000,0.2885,0.0000,0.0000,0.5575,0.4000,1.0000,0.8420,0.5016,0.5032
-2.1200,38.7600,26.8212,2.9772,7.9587,114.4126,376.0000,12128.6902,1964.9981,28263.4139,1.0000,1.0000,0.2727,0.0000,0.0000,0.8928,0.4000,1.0000,0.7520,0.5047,0.5043
-2.1200,38.8600,27.0269,3.1210,7.8579,110.7875,320.0000,17962.9117,7076.7215,28342.2032,1.0000,1.0000,0.2567,0.0000,0.0000,0.3248,0.4000,1.0000,0.6400,0.4695,0.4683
-2.1200,38.9600,27.2326,3.2649,7.7571,107.1623,284.0000,9423.2560,18154.0328,20394.0955,1.0000,1.0000,0.2407,0.0000,0.0000,0.0000,0.9000,1.0000,0.5680,0.5381,0.5464
